training: rounds=170 workers=12 episodes/worker=6 grad_steps/round=300 device=cpu
  lr=0.0007 gamma=0.99 n_step=3 eps 1.0->0.02 over 250000 steps
round   73/170 | lines    0.04 | score        4 | eps 0.562 | buf  111722 | loss 1.1799 | +  1739 |   3.7s
round   74/170 | lines    0.04 | score        4 | eps 0.556 | buf  113386 | loss 1.1803 | +  1664 |   3.7s
round   75/170 | lines    0.08 | score        8 | eps 0.549 | buf  115178 | loss 1.1657 | +  1792 |   3.6s
round   76/170 | lines    0.03 | score        3 | eps 0.541 | buf  116980 | loss 1.1760 | +  1802 |   3.4s
round   77/170 | lines    0.11 | score       11 | eps 0.535 | buf  118742 | loss 1.1640 | +  1762 |   3.4s
round   78/170 | lines    0.06 | score        6 | eps 0.528 | buf  120480 | loss 1.1727 | +  1738 |   3.3s
round   79/170 | lines    0.04 | score        4 | eps 0.521 | buf  122198 | loss 1.1738 | +  1718 |   3.4s
  eval: 0.50 lines/game (max 2), score 58, pieces 31 *best*
round   80/170 | lines    0.04 | score        4 | eps 0.514 | buf  124014 | loss 1.1671 | +  1816 |   5.0s
round   81/170 | lines    0.14 | score       14 | eps 0.507 | buf  125865 | loss 1.1655 | +  1851 |   3.5s
round   82/170 | lines    0.08 | score        8 | eps 0.499 | buf  127712 | loss 1.1731 | +  1847 |   3.5s
round   83/170 | lines    0.08 | score        8 | eps 0.492 | buf  129525 | loss 1.1650 | +  1813 |   3.5s
round   84/170 | lines    0.11 | score       13 | eps 0.485 | buf  131276 | loss 1.1701 | +  1751 |   3.8s
round   85/170 | lines    0.11 | score       11 | eps 0.478 | buf  133118 | loss 1.1647 | +  1842 |   4.0s
round   86/170 | lines    0.14 | score       14 | eps 0.471 | buf  135043 | loss 1.1706 | +  1925 |   4.0s
round   87/170 | lines    0.03 | score        3 | eps 0.463 | buf  136885 | loss 1.1720 | +  1842 |   3.9s
round   88/170 | lines    0.12 | score       12 | eps 0.456 | buf  138807 | loss 1.1706 | +  1922 |   4.1s
round   89/170 | lines    0.21 | score       23 | eps 0.448 | buf  140762 | loss 1.1753 | +  1955 |   4.1s
  eval: 1.00 lines/game (max 5), score 108, pieces 36 *best*
round   90/170 | lines    0.19 | score       19 | eps 0.440 | buf  142738 | loss 1.1665 | +  1976 |   6.1s
round   91/170 | lines    0.15 | score       17 | eps 0.432 | buf  144802 | loss 1.1637 | +  2064 |   4.2s
