training: rounds=170 workers=12 episodes/worker=6 grad_steps/round=300 device=cpu
  lr=0.0007 gamma=0.99 n_step=3 eps 1.0->0.02 over 250000 steps
round   71/170 | lines    0.07 | score        7 | eps 0.568 | buf  110198 | loss 1.2301 | +  1577 |   3.6s
round   72/170 | lines    0.18 | score       18 | eps 0.562 | buf  111818 | loss 1.2283 | +  1620 |   3.8s
round   73/170 | lines    0.11 | score       11 | eps 0.555 | buf  113442 | loss 1.2326 | +  1624 |   3.8s
round   74/170 | lines    0.10 | score       10 | eps 0.549 | buf  115080 | loss 1.2476 | +  1638 |   3.6s
round   75/170 | lines    0.07 | score        7 | eps 0.543 | buf  116635 | loss 1.2412 | +  1555 |   3.5s
round   76/170 | lines    0.12 | score       12 | eps 0.536 | buf  118297 | loss 1.2229 | +  1662 |   3.5s
round   77/170 | lines    0.15 | score       15 | eps 0.530 | buf  119946 | loss 1.2320 | +  1649 |   3.6s
round   78/170 | lines    0.14 | score       14 | eps 0.523 | buf  121618 | loss 1.2407 | +  1672 |   3.6s
round   79/170 | lines    0.11 | score       11 | eps 0.517 | buf  123186 | loss 1.2332 | +  1568 |   3.6s
  eval: 0.08 lines/game (max 1), score 8, pieces 24
round   80/170 | lines    0.17 | score       17 | eps 0.511 | buf  124785 | loss 1.2491 | +  1599 |   4.7s
round   81/170 | lines    0.11 | score       11 | eps 0.504 | buf  126449 | loss 1.2377 | +  1664 |   3.6s
round   82/170 | lines    0.18 | score       18 | eps 0.498 | buf  128149 | loss 1.2451 | +  1700 |   3.7s
round   83/170 | lines    0.19 | score       19 | eps 0.491 | buf  129735 | loss 1.2463 | +  1586 |   3.7s
round   84/170 | lines    0.11 | score       11 | eps 0.485 | buf  131369 | loss 1.2431 | +  1634 |   4.0s
round   85/170 | lines    0.17 | score       17 | eps 0.479 | buf  132984 | loss 1.2452 | +  1615 |   4.1s
round   86/170 | lines    0.25 | score       25 | eps 0.472 | buf  134741 | loss 1.2424 | +  1757 |   4.2s
round   87/170 | lines    0.22 | score       22 | eps 0.465 | buf  136434 | loss 1.2413 | +  1693 |   4.2s
round   88/170 | lines    0.18 | score       18 | eps 0.458 | buf  138182 | loss 1.2506 | +  1748 |   4.2s
round   89/170 | lines    0.19 | score       19 | eps 0.452 | buf  139878 | loss 1.2563 | +  1696 |   4.3s
  eval: 0.83 lines/game (max 3), score 92, pieces 28 *best*
round   90/170 | lines    0.29 | score       29 | eps 0.445 | buf  141659 | loss 1.2491 | +  1781 |   5.7s
round   91/170 | lines    0.24 | score       25 | eps 0.438 | buf  143421 | loss 1.2680 | +  1762 |   4.3s
round   92/170 | lines    0.18 | score       18 | eps 0.431 | buf  145125 | loss 1.2575 | +  1704 |   4.4s
round   93/170 | lines    0.21 | score       21 | eps 0.425 | buf  146800 | loss 1.2604 | +  1675 |   4.4s
round   94/170 | lines    0.24 | score       24 | eps 0.418 | buf  148574 | loss 1.2556 | +  1774 |   4.2s
round   95/170 | lines    0.26 | score       27 | eps 0.411 | buf  150288 | loss 1.2776 | +  1714 |   4.4s
round   96/170 | lines    0.22 | score       22 | eps 0.404 | buf  152075 | loss 1.2609 | +  1787 |   4.4s
round   97/170 | lines    0.21 | score       21 | eps 0.397 | buf  153864 | loss 1.2714 | +  1789 |   4.4s
round   98/170 | lines    0.15 | score       16 | eps 0.390 | buf  155591 | loss 1.2704 | +  1727 |   4.4s
round   99/170 | lines    0.35 | score       35 | eps 0.383 | buf  157299 | loss 1.2690 | +  1708 |   4.5s
  eval: 1.00 lines/game (max 4), score 104, pieces 28 *best*
round  100/170 | lines    0.43 | score       46 | eps 0.376 | buf  159197 | loss 1.2767 | +  1898 |   5.7s
round  101/170 | lines    0.35 | score       35 | eps 0.369 | buf  160992 | loss 1.2749 | +  1795 |   4.5s
round  102/170 | lines    0.33 | score       33 | eps 0.362 | buf  162815 | loss 1.2807 | +  1823 |   4.6s
round  103/170 | lines    0.24 | score       24 | eps 0.355 | buf  164583 | loss 1.2934 | +  1768 |   4.7s
round  104/170 | lines    0.32 | score       33 | eps 0.348 | buf  166423 | loss 1.2875 | +  1840 |   4.5s
round  105/170 | lines    0.28 | score       29 | eps 0.341 | buf  168165 | loss 1.2941 | +  1742 |   4.7s
round  106/170 | lines    0.36 | score       38 | eps 0.333 | buf  170123 | loss 1.3062 | +  1958 |   4.7s
round  107/170 | lines    0.36 | score       36 | eps 0.326 | buf  172061 | loss 1.3038 | +  1938 |   4.6s
round  108/170 | lines    0.43 | score       44 | eps 0.318 | buf  173959 | loss 1.3122 | +  1898 |   4.6s
round  109/170 | lines    0.28 | score       28 | eps 0.311 | buf  175797 | loss 1.3029 | +  1838 |   4.6s
  eval: 0.08 lines/game (max 1), score 8, pieces 27
round  110/170 | lines    0.32 | score       33 | eps 0.304 | buf  177657 | loss 1.3142 | +  1860 |   6.1s
round  111/170 | lines    0.28 | score       29 | eps 0.296 | buf  179489 | loss 1.3044 | +  1832 |   4.7s
round  112/170 | lines    0.38 | score       38 | eps 0.289 | buf  181367 | loss 1.3234 | +  1878 |   5.0s
round  113/170 | lines    0.38 | score       38 | eps 0.282 | buf  183266 | loss 1.3311 | +  1899 |   4.2s
round  114/170 | lines    0.43 | score       44 | eps 0.274 | buf  185169 | loss 1.3232 | +  1903 |   5.3s
round  115/170 | lines    0.47 | score       48 | eps 0.266 | buf  187123 | loss 1.3330 | +  1954 |   5.5s
round  116/170 | lines    0.49 | score       52 | eps 0.259 | buf  189152 | loss 1.3415 | +  2029 |   5.5s
round  117/170 | lines    0.62 | score       66 | eps 0.251 | buf  191125 | loss 1.3469 | +  1973 |   5.3s
round  118/170 | lines    0.39 | score       42 | eps 0.243 | buf  193104 | loss 1.3537 | +  1979 |   5.7s
round  119/170 | lines    0.49 | score       53 | eps 0.236 | buf  195009 | loss 1.3567 | +  1905 |   5.3s
  eval: 0.83 lines/game (max 3), score 88, pieces 27
round  120/170 | lines    0.68 | score       69 | eps 0.228 | buf  196971 | loss 1.3666 | +  1962 |   7.0s
round  121/170 | lines    0.49 | score       50 | eps 0.220 | buf  198912 | loss 1.3720 | +  1941 |   6.0s
round  122/170 | lines    0.42 | score       46 | eps 0.213 | buf  200753 | loss 1.3625 | +  1841 |   5.5s
